"ohi_id","url"
"alien_species_NA_HAB_r","/methodology/components/alien-species"
"alien_species_NA_SPP_r","/methodology/components/alien-species"
"ao_access_NA_AO_s","/methodology/components/fisheries-management-effectiveness"
"cc_acid_NA_CP_p","/methodology/components/ocean-acidification"
"cc_acid_NA_CS_p","/methodology/components/ocean-acidification"
"cc_acid_NA_ECO_p","/methodology/components/ocean-acidification"
"cc_acid_NA_HAB_p","/methodology/components/ocean-acidification"
"cc_acid_NA_ICO_p","/methodology/components/ocean-acidification"
"cc_acid_NA_NP_p","/methodology/components/ocean-acidification"
"cc_acid_NA_SPP_p","/methodology/components/ocean-acidification"
"cc_slr_NA_CP_p","/methodology/components/sea-level-rise"
"cc_slr_NA_CS_p","/methodology/components/sea-level-rise"
"cc_slr_NA_ECO_p","/methodology/components/sea-level-rise"
"cc_slr_NA_HAB_p","/methodology/components/sea-level-rise"
"cc_slr_NA_LIV_p","/methodology/components/sea-level-rise"
"cc_slr_NA_LSP_p","/methodology/components/sea-level-rise"
"cc_slr_NA_MAR_p","/methodology/components/sea-level-rise"
"cc_slr_NA_NP_p","/methodology/components/sea-level-rise"
"cc_slr_NA_TR_p","/methodology/components/sea-level-rise"
"cc_sst_NA_CP_p","/methodology/components/sea-surface-temperature"
"cc_sst_NA_CS_p","/methodology/components/sea-surface-temperature"
"cc_sst_NA_ECO_p","/methodology/components/sea-surface-temperature"
"cc_sst_NA_HAB_p","/methodology/components/sea-surface-temperature"
"cc_sst_NA_ICO_p","/methodology/components/sea-surface-temperature"
"cc_sst_NA_NP_p","/methodology/components/sea-surface-temperature"
"cc_sst_NA_SPP_p","/methodology/components/sea-surface-temperature"
"cc_uv_NA_CP_p","/methodology/components/uv-radiation"
"cc_uv_NA_HAB_p","/methodology/components/uv-radiation"
"cc_uv_NA_NP_p","/methodology/components/uv-radiation"
"cc_uv_NA_SPP_p","/methodology/components/uv-radiation"
"cites_NA_ICO_r","/methodology/components/cites"
"cites_NA_NP_r","/methodology/components/cites"
"cites_NA_SPP_r","/methodology/components/cites"
"cw_coastalpopn_trend_NA_CW_t","/methodology/components/coastal-population"
"cw_fertilizer_trend_NA_CW_t",""
"cw_pathogen_trend_NA_CW_t",
"cw_pesticide_trend_NA_CW_t","/methodology/components/chemical-pollution"
"fishing_v1_eez_NA_HAB_r",
"fishing_v1_NA_AO_r",
"fishing_v1_NA_NP_r",
"fishing_v2_eez_NA_FIS_r",
"fishing_v2_eez_NA_HAB_r",
"fishing_v2_eez_NA_ICO_r",
"fishing_v2_eez_NA_SPP_r",
"fishing_v3_eez_NA_HAB_r",
"fishing_v3_NA_NP_r",
"fp_art_hb_NA_AO_p","/methodology/components/artisanal-fishing-high-bycatch"
"fp_art_hb_NA_ECO_p","/methodology/components/artisanal-fishing-high-bycatch"
"fp_art_hb_NA_FIS_p","/methodology/components/artisanal-fishing-high-bycatch"
"fp_art_hb_NA_HAB_p","/methodology/components/artisanal-fishing-high-bycatch"
"fp_art_hb_NA_ICO_p","/methodology/components/artisanal-fishing-high-bycatch"
"fp_art_hb_NA_LIV_p","/methodology/components/artisanal-fishing-high-bycatch"
"fp_art_hb_NA_NP_p","/methodology/components/artisanal-fishing-high-bycatch"
"fp_art_hb_NA_SPP_p","/methodology/components/artisanal-fishing-high-bycatch"
"fp_art_lb_NA_ECO_p","/methodology/components/artisanal-fishing-low-bycatch"
"fp_art_lb_NA_FIS_p","/methodology/components/artisanal-fishing-low-bycatch"
"fp_art_lb_NA_HAB_p","/methodology/components/artisanal-fishing-low-bycatch"
"fp_art_lb_NA_LIV_p","/methodology/components/artisanal-fishing-low-bycatch"
"fp_art_lb_NA_NP_p","/methodology/components/artisanal-fishing-low-bycatch"
"fp_art_lb_NA_SPP_p","/methodology/components/artisanal-fishing-low-bycatch"
"fp_com_hb_NA_AO_p","/methodology/components/commercial-fishing-high-bycatch"
"fp_com_hb_NA_ECO_p","/methodology/components/commercial-fishing-high-bycatch"
"fp_com_hb_NA_FIS_p","/methodology/components/commercial-fishing-high-bycatch"
"fp_com_hb_NA_HAB_p","/methodology/components/commercial-fishing-high-bycatch"
"fp_com_hb_NA_ICO_p","/methodology/components/commercial-fishing-high-bycatch"
"fp_com_hb_NA_LIV_p","/methodology/components/commercial-fishing-high-bycatch"
"fp_com_hb_NA_SPP_p","/methodology/components/commercial-fishing-high-bycatch"
"fp_com_lb_NA_AO_p","/methodology/components/commercial-fishing-low-bycatch"
"fp_com_lb_NA_ECO_p","/methodology/components/commercial-fishing-low-bycatch"
"fp_com_lb_NA_FIS_p","/methodology/components/commercial-fishing-low-bycatch"
"fp_com_lb_NA_HAB_p","/methodology/components/commercial-fishing-low-bycatch"
"fp_com_lb_NA_LIV_p","/methodology/components/commercial-fishing-low-bycatch"
"fp_com_lb_NA_NP_p","/methodology/components/commercial-fishing-low-bycatch"
"fp_com_lb_NA_SPP_p","/methodology/components/commercial-fishing-low-bycatch"
"fp_targetharvest_NA_ICO_p",
"habitat_combo_eez_NA_FIS_r","/methodology/components/cbd-habitat"
"habitat_combo_eez_NA_HAB_r","/methodology/components/cbd-habitat"
"habitat_combo_eez_NA_ICO_r","/methodology/components/cbd-habitat"
"habitat_combo_eez_NA_SPP_r","/methodology/components/cbd-habitat"
"habitat_combo_NA_AO_r","/methodology/components/cbd-habitat"
"habitat_combo_NA_CP_r","/methodology/components/cbd-habitat"
"habitat_combo_NA_CS_r","/methodology/components/cbd-habitat"
"habitat_combo_NA_NP_r","/methodology/components/cbd-habitat"
"habitat_NA_LSP_r","/methodology/components/cbd-habitat"
