"","rgn_id","habitat","variable","gap_fill"
"1",21,"seaice_edge","health",0
"2",69,"seaice_edge","health",0
"3",70,"seaice_edge","health",0
"4",73,"seaice_edge","health",0
"5",143,"seaice_edge","health",0
"6",144,"seaice_edge","health",0
"7",145,"seaice_edge","health",0
"8",163,"seaice_edge","health",0
"9",174,"seaice_edge","health",0
"10",175,"seaice_edge","health",0
"11",176,"seaice_edge","health",0
"12",177,"seaice_edge","health",0
"13",178,"seaice_edge","health",0
"14",179,"seaice_edge","health",0
"15",180,"seaice_edge","health",0
"16",189,"seaice_edge","health",0
"17",209,"seaice_edge","health",0
"18",210,"seaice_edge","health",0
"19",218,"seaice_edge","health",0
"20",222,"seaice_edge","health",0
"21",223,"seaice_edge","health",0
"22",89,"seaice_edge","health",0
"23",21,"seaice_shoreline","health",0
"24",69,"seaice_shoreline","health",0
"25",70,"seaice_shoreline","health",0
"26",73,"seaice_shoreline","health",0
"27",143,"seaice_shoreline","health",0
"28",145,"seaice_shoreline","health",0
"29",163,"seaice_shoreline","health",0
"30",174,"seaice_shoreline","health",0
"31",175,"seaice_shoreline","health",0
"32",176,"seaice_shoreline","health",0
"33",179,"seaice_shoreline","health",0
"34",180,"seaice_shoreline","health",0
"35",189,"seaice_shoreline","health",0
"36",209,"seaice_shoreline","health",0
"37",210,"seaice_shoreline","health",0
"38",218,"seaice_shoreline","health",0
"39",222,"seaice_shoreline","health",0
"40",223,"seaice_shoreline","health",0
