"rgn_name","rgn_id","product","year","tonnes","usd","usd_ix0","usd_coef","tonnes_mdl","tonnes_orig","tonnes_ix0","tonnes_coef","usd_mdl","usd_orig","tonnes_peak","usd_peak","usd_peak_product_weight","usd_rel","tonnes_rel_orig","tonnes_rel"
"New Caledonia",5,"fish_oil",1977,0,,,,,0,,,,,0,270797.15,,,1,1
"New Caledonia",5,"fish_oil",1978,0,,,,,0,,,,,0,270797.15,,,1,1
"New Caledonia",5,"fish_oil",1979,0,,,,,0,,,,,0,270797.15,,,1,1
"New Caledonia",5,"fish_oil",1980,0,,,,,0,,,,,0,270797.15,,,1,1
"New Caledonia",5,"fish_oil",1981,0,,,,,0,,,,,0,270797.15,,,1,1
"New Caledonia",5,"fish_oil",1982,0,,,,,0,,,,,0,270797.15,,,1,1
"New Caledonia",5,"fish_oil",1983,0,,,,,0,,,,,0,270797.15,,,1,1
"New Caledonia",5,"fish_oil",1984,0,,,,,0,,,,,0,270797.15,,,1,1
"New Caledonia",5,"fish_oil",1985,0,,,,,0,,,,,0,270797.15,,,1,1
"New Caledonia",5,"fish_oil",1986,0,,,,,0,,,,,0,270797.15,,,1,1
"New Caledonia",5,"fish_oil",1987,0,,,,,0,,,,,0,270797.15,,,1,1
"New Caledonia",5,"fish_oil",1988,0,,,,,0,,,,,0,270797.15,,,1,1
"New Caledonia",5,"fish_oil",1989,0,,,,,0,,,,,0,270797.15,,,1,1
"New Caledonia",5,"fish_oil",1990,0,,,,,0,,,,,0,270797.15,,,1,1
"New Caledonia",5,"fish_oil",1991,0,,,,,0,,,,,0,270797.15,,,1,1
"New Caledonia",5,"fish_oil",1992,0,,,,,0,,,,,0,270797.15,,,1,1
"New Caledonia",5,"fish_oil",1993,0,,,,,0,,,,,0,270797.15,,,1,1
"New Caledonia",5,"fish_oil",1994,0,,,,,0,,,,,0,270797.15,,,1,1
"New Caledonia",5,"fish_oil",1995,0,,,,,0,,,,,0,270797.15,,,1,1
"New Caledonia",5,"fish_oil",1996,0,,,,,0,,,,,0,270797.15,,,1,1
"New Caledonia",5,"fish_oil",1997,0,,,,,0,,,,,0,270797.15,,,1,1
"New Caledonia",5,"fish_oil",1998,0,,,,,0,,,,,0,270797.15,,,1,1
"New Caledonia",5,"fish_oil",1999,0,,,,,0,,,,,0,270797.15,,,1,1
"New Caledonia",5,"fish_oil",2000,0,,,,,0,,,,,0,270797.15,,,1,1
"New Caledonia",5,"fish_oil",2001,0,,,,,0,,,,,0,270797.15,,,1,1
"New Caledonia",5,"fish_oil",2002,0,,,,,0,,,,,0,270797.15,,,1,1
"New Caledonia",5,"fish_oil",2003,0,,,,,0,,,,,0,270797.15,,,1,1
"New Caledonia",5,"fish_oil",2004,0,,,,,0,,,,,0,270797.15,,,1,1
"New Caledonia",5,"fish_oil",2005,0,,,,,0,,,,,0,270797.15,,,1,1
"New Caledonia",5,"fish_oil",2006,0,,,,,0,,,,,0,270797.15,,,1,1
"New Caledonia",5,"fish_oil",2007,0,,,,,0,,,,,0,270797.15,,,1,1
"New Caledonia",5,"fish_oil",2008,0,,,,,0,,,,,0,270797.15,,,1,1
"New Caledonia",5,"fish_oil",2009,0,,,,,0,,,,,0,270797.15,,,1,1
